"Name","csuoee__Course_Code__c","hed__Course_ID__c","hed__Account__r.hed__School_Code__c","hed__Description__c","hed__Extended_Description__c","lms_hed__LMS_Reference_Code__c","csuoee__Short_Description__c","csuoee__Banner_Surrogate_ID__c","csuoee__AUCC_Category__c","hed__Credit_Hours__c","csuoee__Credit_Hours_Max__c","csuoee__Guaranteed_Transfer__c","csuoee__Guaranteed_Transfer_Category__c","csuoee__Quality_Matters__c"
"AGRI 639: Products to Profit","AGRI 639","AGRI 639","1101","","<p>This course focuses on marketing and all aspects of the enterprise, including the production, land and forage resources. All potential products and marketing opportunities at different stages of production are discussed. The various benefits and costs of different marketing alternatives are explored. Students learn how to evaluate different marketing alternatives and compare them to operational objectives to arrive at the best available marketing decision.</p>","AGRI-639","This course focuses on marketing and all aspects of the enterprise, including the production, land and forage resources. All potential products and marketing opportunities at different stages of production are discussed. The various benefits and cost of different marketing alternatives are explored.","5785.0","","3.0","","false","","false"
"AGRI 640: Integrated Resource Mgmt Plan","AGRI 640","AGRI 640","1101","","<p>Formulation of an optimal land management plan for a specific site based on specific goals and objectives.</p>","AGRI-640","Formulation of an optimal land management plan for a specific site based on specific goals and objectives.","5786.0","","3.0","","false","","false"
"AHS 692: Seminar","AHS 692","AHS 692","1501","","","AHS-692","","7403.0","","1.0","5.0","false","","false"
"AHS 695: Independent Study","AHS 695","AHS 695","1501","","","AHS-695","","7404.0","","1.0","5.0","false","","false"
"AM 101: Fashion Industries","AM 101","AM 101","1574","","<p>Development, organization, and trends of domestic and foreign fashion industries.</p>","AM-101","Development, organization, and trends of domestic and foreign fashion industries.3","5719.0","","3.0","","false","","false"
"AM 130: Design Apprec App & Merch","AM 130","AM 130","1574","","","AM-130","","5720.0","","3.0","","false","","false"
"AM 143: Introduction to Apparel Design","AM 143","AM 143","1574","","","AM-143","","5721.0","","4.0","","false","","false"
"AM 220: Textiles","AM 220","AM 220","1574","","","AM-220","","35482.0","","0.0","3.0","false","","false"
"AM 244: Illustration for Apparel Desgn","AM 244","AM 244","1574","","","AM-244","","2453.0","","0.0","3.0","false","","false"
"AM 290: Workshop","AM 290","AM 290","1574","","","AM-290","","5727.0","","1.0","18.0","false","","false"
"AM 321: Advanced Textiles","AM 321","AM 321","1574","","","AM-321","","5728.0","","3.0","","false","","false"
"AM 330: Textile and Apparel Economics","AM 330","AM 330","1574","","","AM-330","","5729.0","","3.0","","false","","false"
"AM 335: Textiles & Apparel Spply Chain","AM 335","AM 335","1574","","","AM-335","","4728.0","","3.0","","false","","false"
"AM 341: Computer-Aided Apparel Produc","AM 341","AM 341","1574","","","AM-341","","5731.0","","0.0","3.0","false","","false"
"AM 342: Computer-Aided Textile Design","AM 342","AM 342","1574","","","AM-342","","5730.0","","3.0","","false","","false"
"AB 120: Freshman Orientation","AB 120","AB 120","1177","","","AB-120","","29361.0","","1.0","","false","","false"
"AB 270: Agri Bio--Transfer Orientation","AB 270","AB 270","1177","","","AB-270","","29364.0","","2.0","","false","","false"
"AB 330: Ag Biology Applications I","AB 330","AB 330","1177","","","AB-330","","29366.0","","2.0","","false","","false"
"AB 340: Insect Biotechnology","AB 340","AB 340","1177","","","AB-340","","30721.0","","3.0","","false","","false"
"AB 377: Geographic Info Systems--Agri","AB 377","AB 377","1177","","","AB-377","","44014.0","","0.0","3.0","false","","false"
"AB 410: Understanding Pesticides","AB 410","AB 410","1177","","","AB-410","","39802.0","","3.0","","false","","false"
"AB 430: Advanced Agricultural Biology","AB 430","AB 430","1177","","","AB-430","","29367.0","","3.0","","false","","false"
"AB 480A1: Horticultural Entomology","AB 480A1","AB 480A1","1177","","<p>Key pest arthropods associated with horticultural plants and integrated tactics focused on sustainable pest suppression.</p><p>Introduction to key pest arthropods associated with horticultural plants and integrated pest management (IPM) tactics focused on sustainable pest suppression. Provide 1) General entomology overview and introduction to key insect orders; 2) Introduction to IPM - history, concepts, and application; 3) Overview of arthropods associated with horticultural systems; and 4) Introduction to creating and implementing an IPM plan for horticultural pest management.</p>","AB-480A1","Key pest arthropods associated with horticultural plants and integrated tactics focused on sustainable pest suppression.","38101.0","","2.0","","false","","false"
"AB 480A2: Aquatic Entomology","AB 480A2","AB 480A2","1177","","","AB-480A2","","40196.0","","3.0","","false","","false"
"AB 505: Colorado Agricultural Systems","AB 505","AB 505","1177","","","AB-505","","43772.0","","2.0","","false","","false"
"AB 509: Herbicide Selectivity Action","AB 509","AB 509","1177","","<p>This course explores the physicochemical properties of herbicides, their selectivity (through placement and metabolism), their mechanism of action, uses in weed management, visual symptoms of herbicide treatment, how plants can evolve resistance to these compounds, and controversial topics related to the use of herbicides</p>","AB-509","Explores the physicochemical properties of herbicides, their selectivity (through placement and metabolism), their mechanism of action, uses in weed management, visual symptoms of herbicide treatment, how plants can evolve resistance to these compounds, and controversial topics related to the use of herbicides.","27561.0","","3.0","","false","","false"
"AB 511: Microbiome of Plant Systems","AB 511","AB 511","1177","","","AB-511","","27441.0","","3.0","","false","","false"
"AB 515: Plant Biochemistry Agriculture","AB 515","AB 515","1177","","<p>Experiential learning environment leading to mastery of principles of protein homology modeling, metabolic network analysis, and important plant biochemical pathways. Structure and function of enzymes in metabolic pathways and the contributions of these pathways to plant growth and development.</p>","AB-515","Experiential learning environment leading to mastery of principles of protein homology modeling, metabolic network analysis, and important plant biochemical pathways. Structure and function of enzymes in metabolic pathways and the contributions of these pathways to plant growth and development.","35528.0","","3.0","","false","","false"
"AB 523: Adv Evol/Classificatn-Insects","AB 523","AB 523","1177","","","AB-523","","41569.0","","0.0","5.0","false","","false"
"AB 529: Pesticide Resistance Evol Mgmt","AB 529","AB 529","1177","","<p>Examines pesticide resistance, including principles of resistance evolution; resistance mechanisms in arthropods, weeds, and plant pathogens; management approaches; communication strategies; and new developments in technology for pest management, including RNAi and gene drive.</p>","AB-529","Examines pesticide resistance, including principles of resistance evolution; resistance mechanisms in arthropods, weeds, and plant pathogens; management approaches; communication strategies; and new developments in technology for pest management, including RNAi and gene drive.","36062.0","","3.0","","false","","false"
"AB 554: Fungal Plant Pathogens","AB 554","AB 554","1177","","","AB-554","","38376.0","","2.0","","false","","false"
"AB 555: Plant Virology","AB 555","AB 555","1177","","","AB-555","","38256.0","","2.0","","false","","false"
"AB 580A3: Insect Preservation","AB 580A3","AB 580A3","1177","","","AB-580A3","","37321.0","","1.0","","false","","false"
"AB 581A1: Colorado Ag Systems","AB 581A1","AB 581A1","1177","","","AB-581A1","","38661.0","","2.0","","false","","false"
"AB 792: Seminar","AB 792","AB 792","1177","","","AB-792","","42668.0","","1.0","2.0","false","","false"
"ACT 205: Fundamentals of Accounting","ACT 205","ACT 205","1271","","<p>The course is designed to provide the student with a basic understanding of the role of financial and managerial accounting information in business. It will focus on economic events that occur throughout the business cycle and how to account for them in the financial records of a business. This course will also give students a better understanding of the financial information used by investors and business managers to make informed business decisions.</p><p>Upon mastering the material in this course, you should be able to: <br />1. Define basic accounting terms and concepts.<br />2. Identify how the economic events of a business are reflected in financial statements.<br />3. Prepare and interpret financial statements using analytical tools.<br />4. Identify and present information used for organizational decision-making.<br />5. Apply analytical and critical thinking skills necessary for managerial decision-making.<br />6. Demonstrate knowledge of ethical issues in the context of financial and managerial accounting.</p>","ACT-205","The course is designed to provide the student with a basic understanding of the role of financial and managerial accounting information in business. It will focus on economic events that occur throughout the business cycle and how to account for them in the financial records of a business.","5614.0","","3.0","","false","","false"
"ACT 301: Spreadsheet Applications","ACT 301","ACT 301","1271","","<p>Use of spreadsheet-based applications to generate, manage, modify, and analyze accounting data.</p>","ACT-301","Use of spreadsheet-based applications to generate, manage, modify, and analyze accounting data.","35521.0","","1.0","","false","","false"
"ACT 350: Accounting Information Systems","ACT 350","ACT 350","1271","","<p>Preparation and analysis of financial statements under U.S. generally accepted accounting principles (GAAP); accounting for revenue and assets.</p>","ACT-350","Preparation and analysis of financial statements under U.S. generally accepted accounting principles (GAAP); accounting for revenue and assets.","5613.0","","3.0","","false","","false"
"ACT 411: Advanced Accounting","ACT 411","ACT 411","1271","","<p>Accounting for branches and subsidiaries, partnerships, and business combinations. Accounting for multi-national business transactions.</p>","ACT-411","Accounting for branches and subsidiaries, partnerships, and business combinations. Accounting for multi-national business transactions.","5617.0","","3.0","","false","","false"
"ACT 495: Independent Study","ACT 495","ACT 495","1271","","","ACT-495","","5625.0","","1.0","18.0","false","","false"
"ACT 537: Adv'd Tax of Business Entities","ACT 537","ACT 537","1271","","","ACT-537","","35281.0","","3.0","","false","","false"
"ACT 540: Professional Ethics","ACT 540","ACT 540","1271","","<p>You will learn about the ethical practice of professional accounting. Emphasis will be placed on thinking about the nature and purpose of ethical behavior, and on how ethics relates to you personally. We will look at the types of ethical dilemmas that can arise in professional practice, and at how they can be dealt with. While ethical guidance must come primarily from within oneself, we will also consider promulgated professional standards where applicable.</p><p>Non-admitted students are asked to contact <a href=""mailto:cobgradinfo@colostate.edu"">cobgradinfo@colostate.edu</a> or call (800) 491-4622 to determine eligibility to enroll in this class. Those who intend to apply to the program in the future must be aware that credits can only be transferred in with a B or better grade earned.</p>","ACT-540","Ethical practice of professional accounting.","5629.0","","3.0","","false","","false"
"ACT 561: Legal&Regulatory Issues-Acctng","ACT 561","ACT 561","1271","","","ACT-561","","5631.0","","3.0","","false","","false"
"ACT 575: Oil and Gas Accounting","ACT 575","ACT 575","1271","","","ACT-575","","3739.0","","3.0","","false","","false"
"ACT 580A1: Sustainability Accounting","ACT 580A1","ACT 580A1","1271","","","ACT-580A1","","40076.0","","3.0","","false","","false"
"ACT 602: Act Research and Communication","ACT 602","ACT 602","1271","","","ACT-602","","34662.0","","3.0","","false","","false"
"ACT 605: Acct Sustainable Enterprises","ACT 605","ACT 605","1271","","","ACT-605","","24923.0","","3.0","","false","","false"
"ACT 610: Accounting Analytics","ACT 610","ACT 610","1271","","","ACT-610","","35002.0","","3.0","","false","","false"
"AGED 110: Agriculture Production Systems","AGED 110","AGED 110","1172","","<p>This course includes a broad survey of the diverse aspects of Colorado agriculture. Enrollment in this course is limited to 4-H senior-status members, ages 14-18 (must be 14 on or before December 31 of the previous year). Students in the class are required to submit two different 4-H projects, including project proposals and 4-H record books, in different thematic areas. Thematic areas include:</p><ul><li>Livestock and Companion Animal Systems</li><li>Plant, Horticulture and Natural Resource Systems</li><li>Agriculture Commodity, Product and Food Processing Systems</li><li>Agriculture Mechanical and Technology Systems</li></ul><p>Students may use project(s) completed in another year of senior status membership to meet course requirements. Completion of this course earns 3-credits in CSU’s College of Agricultural Sciences. Questions on acceptable projects, what degree plan the course fits into, and other course questions should be emailed to the instructor, <a href=""mailto:Nathan.Clark@colostate.edu"">Nathan Clark</a>.</p>","AGED-110","Broad survey of the diverse aspects of Colorado agriculture.","2046.0","","0.0","3.0","false","","false"
"AGED 220: Understanding Ag Ed","AGED 220","AGED 220","1172","","","AGED-220","","3458.0","","1.0","","false","","false"
"AGED 330: Program Dsgn & Eval in Ag Lit","AGED 330","AGED 330","1172","","","AGED-330","","3740.0","","3.0","","false","","false"
"AGED 372: Inclusive Mentoring","AGED 372","AGED 372","1172","","","AGED-372","","44176.0","","2.0","4.0","false","","false"
"AGED 380A1: Teaching An Sci in SBAE","AGED 380A1","AGED 380A1","1172","","Students will learn in experiential form to implement secondary Ag Ed Standards through contextual learning and placements in industry and classrooms related to Animal Science.","AGED-380A1","Students will learn in experiential form to implement secondary Ag Ed Standards through contextual learning and placements in industry and classrooms related to Animal Science.","44406.0","","0.0","3.0","false","","false"
"AGED 380A2: Teaching NR/Env Sci in SBAE","AGED 380A2","AGED 380A2","1172","","Learn in experiential form to implement secondary Ag Ed Standards through contextual learning and placements in industry and classrooms related to Natural Resources/Environmental Science.","AGED-380A2","Learn in experiential form to implement secondary Ag Ed Standards through contextual learning and placements in industry and classrooms related to Natural Resources/Environmental Science.","44407.0","","0.0","3.0","false","","false"
"AGED 380A3: Teaching PSTS in SBAE","AGED 380A3","AGED 380A3","1172","","Students will learn in experiential form to implement secondary Ag Ed Standards through contextual learning and placements in industry and classrooms related to Power, Structural, &amp; Technical Systems.","AGED-380A3","Students will learn in experiential form to implement secondary Ag Ed Standards through contextual learning and placements in industry and classrooms related to Power, Structural, & Technical Systems.","44405.0","","0.0","3.0","false","","false"
"AGED 420: Developing School Based Ag Ed","AGED 420","AGED 420","1172","","","AGED-420","","2759.0","","3.0","","false","","false"
"AGED 430: Methods of Ag Literacy","AGED 430","AGED 430","1172","","","AGED-430","","2047.0","","3.0","","false","","false"
"AGED 440: Managing Experiences in Ag Ed","AGED 440","AGED 440","1172","","","AGED-440","","17701.0","","1.0","","false","","false"
"AGED 486A: Practicum: Ag Literacy","AGED 486A","AGED 486A","1172","","","AGED-486A","","18022.0","","1.0","3.0","false","","false"
"AGED 486B: Practicum: On-site Ag Outreach","AGED 486B","AGED 486B","1172","","","AGED-486B","","17962.0","","1.0","2.0","false","","false"
"AGED 486C: Practicum: FFA","AGED 486C","AGED 486C","1172","","","AGED-486C","","17963.0","","1.0","2.0","false","","false"
"AGED 487: Internship","AGED 487","AGED 487","1172","","","AGED-487","","2475.0","","1.0","6.0","false","","false"
"AGED 495: Independent Study","AGED 495","AGED 495","1172","","","AGED-495","","2476.0","","1.0","6.0","false","","false"
"AGED 496: Group Study","AGED 496","AGED 496","1172","","","AGED-496","","3380.0","","1.0","12.0","false","","false"
"AGED 520: 4-H/Youth Programs--Extension","AGED 520","AGED 520","1172","","<p>Youth programs in Extension, including 4-H, are America’s largest youth development organization reaching almost 6 million youth. Preparation for a successful career working with 4-H/ Youth Development programs in Extension as well as other related non-formal education programs.</p><p>Senior standing.</p>","AGED-520","Youth programs in Extension, including 4-H, are America’s largest youth development organization reaching almost 6 million youth. Preparation for a successful career working with 4-H/ Youth Development programs in Extension as well as other related non-formal education programs.
Senior standing.","35001.0","","3.0","","false","","false"
"AGED 525: Agricultural and Ext Teaching","AGED 525","AGED 525","1172","","<p>Use research on effective teaching methods to define and deliver educational programs, courses and presentations in formal and non-formal educational settings in agriculture. Apply organization and instructional methods to evaluate, plan, deliver and assess effective educational programs. Graduate standing.</p>","AGED-525","Use research on effective teaching methods to define and deliver educational programs, courses and presentations in formal and non-formal educational settings in agriculture. Apply organization and instructional methods to evaluate, plan, deliver and assess effective educational programs. Graduate standing.","17704.0","","3.0","","false","","false"
"AGED 540: Ag Ed Lab Management","AGED 540","AGED 540","1172","","<p>Theory, management and pedagogy of delivering safety instruction and experiential curriculum in secondary agricultural education laboratory settings.</p>","AGED-540","Theory, management and pedagogy of delivering safety instruction and experiential curriculum in secondary agricultural education laboratory settings.","3077.0","","2.0","","false","","false"
"AGED 600: Eval & Applied Research in Ext","AGED 600","AGED 600","1172","","<p>Train extension and other outreach specialists in the basics of program evaluation and research methods. Work with real world scenarios and/or their own field experiences to learn how to strategically design evaluation plans and effectively analyze the data collected. Emphasizing how to improve programming with the collected data. Credit not allowed for both AGED 600 and EDRM 600 (Introduction to Research Methods).</p>","AGED-600","Train extension and other outreach specialists in the basics of program evaluation and research methods. Work with real world scenarios and/or their own field experiences to learn how to strategically design evaluation plans and effectively analyze the data collected. Emphasizing how to improve programming with the collected data.","17964.0","","3.0","","false","","false"
"AGED 680A1: Proposal Development in Ag Ed","AGED 680A1","AGED 680A1","1172","","<span class=""ui-provider box boy c d e f g h i j k l m n o p q r s t boz bpa w x y z ab ac ae af ag ah ai aj ak"" dir=""ltr"">Focus on research, curriculum, or program proposal, conduct a literature review, and develop academic writing skills. Apply and extend the knowledge gained and prepare to present, defend, and implement research, curriculum, or program proposal.</span>","AGED-680A1","Focus on research, curriculum, or program proposal, conduct a literature review, and develop academic writing skills. Apply and extend the knowledge gained and prepare to present, defend, and implement research, curriculum, or program proposal.","42701.0","","3.0","","false","","false"
"AGED 692: Agricultural Education Seminar","AGED 692","AGED 692","1172","","<p>Agricultural education focusing on current trends in Extension.</p>","AGED-692","Agricultural education focusing on current trends in Extension.","17965.0","","1.0","","false","","false"
"AGED 698: Agricultural Educ. Research","AGED 698","AGED 698","1172","","<p>Admission to the Master of Agriculture in Agricultural Sciences, Teacher Development Specialization. Written consent of instructor.</p>","AGED-698","Admission to the Master of Agriculture in Agricultural Sciences, Teacher Development Specialization. Written consent of instructor.","22222.0","","1.0","6.0","false","","false"
"AGRI 270: World Interdepen-Populatn&Food","AGRI 270","AGRI 270","1101","","","AGRI-270","","5764.0","","3.0","","false","","false"
"AGRI 510: Sustainable Agriculture","AGRI 510","AGRI 510","1101","","<p>An interdisciplinary study comparing conventional and alternative land management practices, using an agroecosystem analysis approach.</p><p>Enrollment in INTO Master of Agriculture Pathways or graduate standing.</p>","AGRI-510","An interdisciplinary study comparing conventional and alternative land management practices, using an agroecosystem analysis approach.","4727.0","","3.0","","false","","false"
"AGRI 546: Principles-Cooperatv Extension","AGRI 546","AGRI 546","1101","","<p>This course covers traditional and contemporary delivery systems of Cooperative Extension. It emphasizes structures and methods of non-formal education.</p>","AGRI-546","This course covers traditional and contemporary delivery systems of Cooperative Extension. It emphasizes structures and methods of nonformal education.","5709.0","","3.0","","false","","false"
