"hed__School_Code__c","Name","Parent.hed__School_Code__c","csuoee__Type__c","csuoee__Program_Friendly_Name__c","csuoee__Program_Level__c","csuoee__Program_Cost__c","csuoee__Fall_Application_Deadline__c","csuoee__Spring_Application_Deadline__c","csuoee__Summer_Application_Deadline__c","csuoee__Unit_Type__c"
"PSYC-MS","MS Psychology","1876","Degree","","GR","","","","","Credit"
"NRST-FZ-MNRS","MNRS Natural Resources Stewardship/Forest Sciences","1472","Degree","","GR","","","","","Credit"
"MAST-DSZ-MAS","MAS Applied Stats/DSCZ","1877","Degree","","GR","","","","","Credit"
"DEMD-APAZ-MS","MS Design and Merchandising/Apparel and Merchandising","1574","Degree","","GR","","","","","Credit"
"ECOL-HIZ-PHD","PhD Ecology/HEIZ","1021","Degree","","GR","","","","","Credit"
"ADVS-PHD","PhD Applied Developmental Sci","1570","Degree","","GR","","","","","Credit"
"ANTH-PHD","PhD Anthropology","1787","Degree","","GR","","","","","Credit"
"FSAN-PHD","PhD Food Science and Nutrition","1571","Degree","","GR","","","","","Credit"
"PSYC-IOPZ-BS","BS Psychology/Industrial/Organizational Psychology","1876","","","","","","","",""
"EVHL-EPZ-PHD","PhD Environmental Health/EPIZ","1681","Degree","","GR","","","","","Credit"
"SOCI-MA","MA Sociology","1784","Degree","","GR","","","","","Credit"
"ENGL-ENEZ-MA","MA English/ENEZ","1773","Degree","","GR","","","","","Credit"
"EHRS-SLZ-PHD","PhD Education and Human Resource Studies/School Leadership","1588","Degree","","GR","","","","","Credit"
"FRSC-PHD","PhD Forest Sciences","1472","Degree","","GR","","","","","Credit"
"SOCR-SESZ-BS","BS Soil and Crop Sciences/Soil Science and Environmental Solutions","1170","Degree","","UG","","","","","Credit"
"ANTH-MA","MA Anthropology","1787","Degree","","GR","","","","","Credit"
"HORT-HFCZ-BS","BS Horticulture/Horticultural Food Crops","1173","Degree","","UG","","","","","Credit"
"ECSU-PHD","PhD Ecosystem Sustainability","1476","Degree","","GR","","","","","Credit"
"HDNR-MS","MS Human Dimensions of Nat Res","1480","Degree","","GR","","","","","Credit"
"SOCR-PBGZ-BS","BS Soil and Crop Sciences/Plant Biotechnology, Genetics, and Breeding","1170","Degree","","UG","","","","","Credit"
"HIST-SBSZ-BA","BA History/Social/Behavioral Sciences","1776","Degree","","UG","","","","","Credit"
"CPEG-NDTZ-BS","BS Computer Engineering/Networks and Data","1373","Degree","","UG","","","","","Credit"
"","College of Engineering Brand","EG","","","GR","","","","",""
"ASRF-CT","Aerospace: Satellites, Radars and Remote Sensing Graduate Certificate","EG","Certificate","Aerospace: Satellites, Radars and Remote Sensing","GR","6345.0","7/1","12/1","","Credit"
"SOCI-GNSZ-BA","BA Sociology/General Sociology","1784","Degree","Sociology","UG","57120.0","6/1","11/1","5/1","Credit"
"MUTH-PHD","PhD Music Therapy","1778","Degree","Music Therapy","GR","54000.0","2/15","","","Credit"
"","Undecided","","Other","Exploratory Studies","UG","","","","","Credit"
"","Eurhythmics Training","LA","Certificate","","GR","585.0","","","","Credit"
"","Prevention Science Graduate Certificate","","","","","7560.0","","","",""
"INSF-DD-CT","CT International Security","1782","","International Security","","7032.0","7/15","12/15","4/15",""
"BUSN-MDZ-MBA","MBA Business Administration/Marketing Data Analytics","1201","","MBA Business Administration/Marketing Data Analyti","GR","41916.0","","","","Credit"
"BUSN-DD-MBA","MBA Business Administration","1201","","MBA Business Administration","GR","41916.0","","","","Credit"
"CPSC-DCYZ-BS","BS Computer Science/Computing Systems","1873","Degree","","UG","","","","","Credit"
"","Zoo, Aquarium, and Animal Shelter Management","NS","Degree","Zoo, Aquarium, and Animal Shelter Management","GR","28905.0","7/15","","","Credit"
"SOCR-BS","BS Soil and Crop Sciences","1170","Degree","Soil and Crop Sciences","UG","57120.0","6/1","11/1","5/1","Credit"
"CARF-DD-CT","CT Climate Change Adaptation and Risk Management","1472","Certificate","Climate Adaptation and Risk Management","GR","8736.0","7/15","12/1","","Credit"
"","Soil and Crop Sciences B.S.","","Degree","Soil and Crop Science","UG","57120.0","6/1","11/1","5/1","Credit"
"","MS Applied Mathematics","NS","Degree","Applied Mathematics","GR","","","","","Credit"
"","Arts-Based Leadership Entrepreneurial (ABLE) Fellows","","Badge","Arts-Based Leadership Entrepreneurial Fellows","NC","","","","","Noncredit"
"","Seed Technology Training","","Certificate","Seed Technology Training","NC","","","","","Noncredit"
"","Certified Gardener Program","","Badge","Certified Gardener","NC","","","","","Noncredit"
"","Construction Management Certificate","","Certificate","Construction Management","NC","","","","","Noncredit"
"","Cottage Foods Training","","Certificate","Cottage Foods Training","NC","","","","","Noncredit"
"","Creative Organizational Innovation","","Badge","Creative Organizational Innovation","NC","","","","","Noncredit"
"","Crucial Business Management Skills for the 21st Century","","Badge","Crucial Business Management Skills","NC","","","","","Noncredit"
"","Developing a Safe Food Business","","Certificate","Developing a Safe Food Business","NC","","","","","Noncredit"
"","Skillfullly Working with People with Developmental Disabilites","","Badge","Developmental Disabilities Training","NC","","","","","Noncredit"
"","Drone Training Program","","Badge","Drone Training Program","NC","","","","","Noncredit"
"","Ergonomics Certificate","","Certificate","Ergonomics","NC","","","","","Noncredit"
"","Essential Soft Skills for Employment","","Badge","Essential Soft Skills for Employment","NC","","","","","Noncredit"
"","Food Manufacturing Safety and Sanitation","","Certificate","Food Manufacturing Safety and Sanitation","NC","","","","","Noncredit"
"","Foundations of 3D Printing","","Badge","Foundations of 3D Printing","NC","","","","","Noncredit"
"ETED-DD-MXED","MXED Master of Extension Education","1101","Degree","Extension Education","GR","22464.0","8/1","12/15","3/15","Credit"
"","Introducing Feminist Frameworks","","Badge","Introducing Feminist Frameworks","NC","","","","","Noncredit"
"","Land Stewardship","","Badge","Land Stewardship","NC","","","","","Noncredit"
"","Mindfulness Training for Everyday Life","","Certificate","Mindfulness Training","NC","","","","","Noncredit"
"","National Association of Landscape Professionals","","Badge","National Association of Landscape Professionals","NC","","","","","Noncredit"
"","Nonprofit Leadership Essentials","","Badge","Nonprofit Leadership Essentials","NC","","","","","Noncredit"
"","PHR/SPHR Certification Preparation","","Certificate","PHR/SPHR Certification Preparation","NC","","","","","Noncredit"
"","PHR/SPHR Certification Preparation - Online","","Certificate","PHR/SPHR exam prep program","NC","","","","","Noncredit"
"","Project Management Certificate","","Certificate","Project Management","NC","","","","","Noncredit"
"","Project Management Certificate - Classroom","","Certificate","Project Management","NC","","","","","Noncredit"
"ITPF","Project Management Certificate - Online","","Certificate","Online Project Management","NC","","","","","Noncredit"
"","Radiation Safety","VM","Certificate","Radiation Safety","NC","","","","","Noncredit"
"","Spanish for Animal Health","","Certificate","Spanish for Animal Health","NC","","","","","Noncredit"
"","Sustainable Community Development","","Certificate","Sustainable Community Development","NC","","","","","Noncredit"
"","Understanding Climate Change","","Badge","Understanding Climate Change","NC","","","","","Noncredit"
"","Veterinary Medicine","","Certificate","Veterinary Medicine","NC","","","","","Noncredit"
"TEXF-DD-CT","CT Teaching in Extension","1172","Certificate","Teaching in Extension","GR","8242.0","8/1","","","Credit"
"AGBU-DD-BS","BS Agricultural Business","1172","Degree","Agricultural Business","UG","57120.0","6/1","11/1","5/1","Credit"
"HORT-DHBZ-BS","BS Horticulture/DHBZ","1173","Degree","Horticulture","UG","57120.0","6/1","11/1","5/1","Credit"
"AEAF-DD-CT","Accounting, Ethics and Auditing Certificate","BU","Certificate","Accounting, Ethics and Auditing","GR","","","","","Credit"
"APFF-DD-CT","CT Applied Finance","1272","Certificate","Applied Finance","GR","10978.0","7/31","1/1","","Credit"
"BUSA-DD-MBA","Business Administration (M.B.A.)","BU","Degree","Business Administration","GR","41916.0","7/1","12/1","","Credit"
"BCAF-DD-CT","Business Analytics and Accounting Systems Certificate","BU","Certificate","Business Analytics and Accounting Systems","GR","","8/1","1/1","","Credit"
"BAPF-CT","Business Application Development","BU","Certificate","Business Application Development","GR","10404.0","8/1","1/1","","Credit"
"BISF-DD-CT","CT Business Information Systems","1277","Certificate","Business Information Systems","GR","7803.0","7/31","1/1","","Credit"
"BINF-DD-CT","CT Business Intelligence","1277","Certificate","Business Intelligence","GR","7803.0","7/31","1/1","","Credit"
"CMIS-DD-MCIS","MCIS Master of Computer Information Systems","1277","Degree","Computer Information Systems","GR","28611.0","7/1","12/1","","Credit"
"CYBF-CT","CT Cybersecurity","1277","Certificate","Cybersecurity","GR","10404.0","8/1","1/1","","Credit"
"BUSA-DD-MBA?","Executive M.B.A.","BU","Degree","Executive MBA","GR","41916.0","7/1","12/1","","Credit"
"ITPF-DD-CT","CT Information Technology Project Management","1277","Certificate","IT Project Management","GR","7803.0","8/1","1/1","","Credit"
"MKMF-DD-CT","CT Marketing Management","1278","Certificate","Marketing Management","GR","8982.0","7/31","1/1","","Credit"
"BUSA-DACZ-BS","Business Administration, Accounting Concentration","BU","Degree","Business Administration - Accounting","UG","57120.0","6/1","11/1","5/1","Credit"
"BTEF-CT","Biomaterials and Tissue Engineering","EG","Certificate","Biomaterials and Tissue Engineering","GR","11796.0","7/1","11/15","","Credit"
"ENGR-DBMZ-ME","ME Engineering/BMEZ","1301","Degree","Biomedical Engineering","GR","28920.0","6/1","11/15","","Credit"
"ENGR-CD-ME","Civil and Environmental Engineering M.E.","1301","Degree","Civil and Environmental Engineering M.E.","GR","29790.0","5/1","12/1","","Credit"
"CIVE-DD-MS","MS Civil Engineering","1372","Degree","Civil Engineering","GR","29790.0","5/1","12/1","","Credit"
"ENGR-DCPZ-ME","ME Engineering/Computer Engineering","1301","Degree","Computer Engineering","GR","21150.0","7/1","12/1","","Credit"
"OEE-CEMEMS","Computer Engineering (M.E.,M.S.)","EG","Degree","Computer Engineering","GR","21150.0","7/1","12/1","","Credit"
"CPEG-DD-MS","MS Computer Engineering","1373","Degree","Computer Engineering","GR","21150.0","7/1","12/1","","Credit"
"DENF","Data Engineering","EG","Certificate","Data Engineering","GR","11160.0","7/1","12/1","","Credit"
"SLVF-DD-CT","CT Advanced Silviculture for the Practicing Forester","1472","Certificate","Advanced Silviculture","GR","9165.0","4/1","12/20","","Credit"
"SYSE-DD-DE","DE Systems Engineering","1377","Degree","Engineering","GR","82944.0","4/1","11/1","","Credit"
"ENGR-ED-ME","Electrical and Computer Engineering (M.E.)","EG","Degree","Electrical and Computer Engineering","GR","21150.0","7/1","12/1","","Credit"
"GSAF-DD-CT","Applied Global Stability/Agriculture Certificate","","Certificate","Applied Global Stability - Agriculture","GR","9528.0","7/15","12/15","4/15","Credit"
"GSNF-DD-CT","CT Applied Global Stability: Natural Resources","1036","Certificate","Applied Global Stability - Natural Resources","GR","9528.0","7/15","12/15","4/15","Credit"
"GSWF-DD-CT","Applied Global Stability/Water Resources Certificate","","Certificate","Applied Global Stability - Water Resources","GR","9528.0","7/15","12/15","4/15","Credit"
"ENGR-DEEZ-ME","ME Engineering/Electrical Engineering","1301","Degree","Electrical Engineering","GR","21150.0","7/1","12/1","","Credit"
"OEE-EEMEMS","Electrical Engineering (M.E.,M.S.)","EG","Degree","Electrical Engineering","GR","21150.0","7/1","12/1","","Credit"
"ELEG-DD-MS","MS Electrical Engineering","1373","Degree","Electrical Engineering","GR","21150.0","7/1","12/1","","Credit"
"BMGF-DD-CT","CT Business Management","1201","Certificate","Business Management","GR","11976.0","7/31","1/1","","Credit"
"CBMF-DD-CT","CT Carbon Management","1476","Certificate","Carbon Management","GR","6850.0","7/15","12/1","","Credit"
"EMSF-DD-CT","CT Embedded Systems","1373","Certificate","Embedded Systems","GR","7975.0","7/1","12/1","","Credit"
"ENGR-DMGZ-ME","Engineering Management (M.E.)","EG","Degree","Engineering Management","GR","","","","","Credit"
"ENGR-MD-ME","ME Engineering/Mechanical Engineering","1301","Degree","Mechanical Engineering","GR","28920.0","5/15","11/1","","Credit"
"PWRF-DD-CT","Power and Energy Certificate","EG","Certificate","Power and Energy","GR","","7/1","12/1","","Credit"
"ENGR-DSYZ-ME","ME Engineering/System Engineering","1301","Degree","Systems Engineering","GR","34560.0","7/1","11/1","","Credit"
"OEE-SEMEMS","Systems Engineering (M.E., M.S.)","EG","Degree","Systems Engineering","GR","34560.0","7/1","11/1","","Credit"
"SYSE-DD-MS","MS Systems Engineering","1377","Degree","Systems Engineering","GR","34560.0","7/1","11/1","","Credit"
"SYSE-DD-PHD","PhD Systems Engineering - Dist","1377","Degree","Systems Engineering","GR","82944.0","7/1","11/1","","Credit"
"SYEF-DD-CT","CT Systems Engineering Practice","1377","Certificate","Systems Engineering Practice","GR","13824.0","7/1","11/1","","Credit"
"HDFS-ECPZ","Human Development and Family Studies/Child Care Director Qualifications","HS","Certificate","Child Care Director Qualifications","NC","","","","","Credit"
"EHRS-DSZ-MED","MEd Education and Human Resource Studies/Education Sciences","1588","Degree","Education Sciences - Principal Licensure","GR","15600.0","","","5/15","Credit"
"EHRS-DSZ-MED?","Education Sciences (Teacher Licensure and M.Ed.)","HS","Degree","Education Sciences - Teacher Licensure","GR","26650.0","","","5/15","Credit"
"HDFS-DD-BS","Human Development and Family Studies (B.S.)","HS","Degree","Human Development and Family Studies","UG","57120.0","6/1","11/1","5/1","Credit"
"HDFS-DECZ-BS","BS Human Development and Family Studies/Early Childhood Professions","1570","Degree","Early Childhood Professions","UG","57120.0","6/1","11/1","5/1","Credit"
"HDFS-DHDZ-BS","BS Hmn Dvlpment & Fam Std/DHDZ","1570","Degree","Human Development and Family Studies","UG","57120.0","6/1","11/1","5/1","Credit"
"HDFS-DLEZ-BS","Human Development and Family Studies/Leadership and Entrepreneurial Professions","1570","Degree","Leadership and Entrepreneurial Professions","UG","57120.0","6/1","11/1","5/1","Credit"
"HDFS-DPHZ-BS","BS Human Development and Family Studies/Pre-Health Professions","1570","Degree","Pre-Health Professions","UG","57120.0","6/1","11/1","5/1","Credit"
"HDFS-DPIZ-BS","BS Human Development and Family Studies/Prevention and Intervention Sciences","1570","Degree","Prevention and Intervention Sciences","UG","57120.0","6/1","11/1","5/1","Credit"
"ACBF-DD-CT","CT Adv Clinic Behav Health Dis","1586","Certificate","Advanced Clinical Behavioral Health","GR","6525.0","8/1","1/1","5/1","Credit"
"CRMF-DD-CT","CT Conflict Resolution and Mediation","1586","Certificate","Conflict Resolution and Mediation","GR","6525.0","8/1","1/1","5/1","Credit"
"MVCF-DD-CT","Military and Veteran Culture Certificate","HS","Certificate","Military and Veteran Culture","GR","","8/1","1/1","5/1","Credit"
"NPAF-DD-CT","CT Nonprofit Administration","1586","Certificate","Nonprofit Administration","GR","6525.0","8/1","1/1","5/1","Credit"
"PSWF-DD-CT","CT PreK-12 School Social Worker","1586","Certificate","PreK-12 School Social Worker","GR","6525.0","8/1","1/1","5/1","Credit"
"SOWK-DD-MSW","MSW Social Work","1586","Degree","Social Work","GR","46400.0","8/1","8/1","5/1","Credit"
"ABEF-DD-CT","Adult Basic Education Certificate","HS","Certificate","Adult Basic Education","GR","","8/1","1/1","5/1","Credit"
"EHRS-ADZ-MED","MEd Education and Human Resource Studies/Adult Education and Training","1588","Degree","Adult Education and Training","GR","20220.0","7/15","10/31","5/1","Credit"
"CCMF-DD-CT","CT Campus Crisis Management","1588","Certificate","Campus Crisis Management","GR","10470.0","7/15","1/2","4/15","Credit"
"FSAN-DD-MS","MS Food Science and Nutrition","1571","Degree","Dietetics","GR","21460.0","1/15","1/1","5/1","Credit"
"EBDF-DD-CT","Evidence-Based Design Certificate","HS","Certificate","Evidence-Based Design","GR","","8/1","1/1","5/1","Credit"
"FALF-DD-CT","CT Facilitatng Adlt Learning D","1588","Certificate","Facilitating Adult Learning","GR","8088.0","7/15","1/2","4/15","Credit"
"EHRS-DLZ-PHD","PhD Ed & Human Resrc Stds-HELZ","1588","Degree","Higher Education Leadership","GR","56700.0","","","12/1","Credit"
"HLSF-DD-CT","High-Impact On-Demand Learning Solutions Graduate Certificate","HS","Certificate","High-Impact On-Demand Learning Solutions","GR","6588.0","7/15","11/30","4/15","Credit"
"NUSF-DD-CT","Nutrition Sciences Graduate Certificate","HS","Certificate","Nutrition Sciences","GR","5643.0","7/31","12/15","4/25","Credit"
"EHRS-DOZ-MED","MEd Education and Human Resource Studies/Organizational Learning, Performance &","1588","Degree","Organizational Learning, Performance, and Change","GR","24156.0","6/15","","","Credit"
"EHRS-DOZ-PHD","PhD Ed & Human Resrc Stds-OLPZ","1588","Degree","Organizational Learning, Performance, and Change","PHD","60000.0","3/15","","","Credit"
"PPEF-DD-CT","CT Preventn Progrm Plng & Eval","1570","Certificate","Program Planning and Evaluation","GR","7560.0","8/1","1/1","5/1","Credit"
"SAAF-DD-CT","CT Student Affairs Administration","1588","Certificate","Student Affairs Administration","GR","7678.0","7/15","1/2","","Credit"
"SAHE-DD-MS","MS Student Affairs in Higher Education","1588","Degree","Student Affairs in Higher Education","GR","23034.0","6/1","10/15","2/15","Credit"
"SMEF-DD-CT","Student Affairs Management of Auxiliary Enterprises Certificate","HS","Certificate","Student Affairs Management of Auxiliary Enterprise","GR","10470.0","7/15","1/2","4/15","Credit"
"ANTH-DD-BA","BA Anthropology","1787","Degree","Anthropology","UG","57120.0","6/1","11/1","5/1","Credit"
"ECON-DD-BA","BA Economics","1771","Degree","Economics","UG","57120.0","6/1","11/1","5/1","Credit"
"ILAR-DD-BA","BA Interdisciplinary Liberal Arts","1701","Degree","Interdisciplinary Liberal Arts","UG","57120.0","6/1","11/1","5/1","Credit"
"JAMC-DD-BA","BA Journalism and Media Communication, Online","1785","Degree","Journalism and Media Communications","UG","57120.0","6/1","11/1","5/1","Credit"
"ALCM-DD-MLCM","MLCM Arts Leadership and Cultural Management","1725","Degree","Arts Leadership and Cultural Management","GR","21152.0","7/1","12/1","","Credit"
"COMM-DD-MCMM","MCMM Comm and Media Mgmt","1785","Degree","Communications and Media Management","GR","22530.0","7/19","11/15","4/1","Credit"
"MUSC-MDDZ-MM","MM Music/MEDZ - Distance","1778","Degree","Conducting","GR","18060.0","","","2/1","Credit"
"MUSC-MDEZ-MM","MM Music/Music Education","1778","Degree","Kodaly Music Education","GR","18060.0","3/1","11/1","2/1","Credit"
"WARF-DD-CT","CT Water Resources","1476","Certificate","Water Resources","GR","7425.0","7/1","12/1","","Credit"
"MUSC-MCDZ-MM","Master of Music","LA","Degree","Master of Music","GR","18060.0","","","2/1","Credit"
"MUSC-MTDZ-MM","MM Music/Music Therapy","1778","Degree","Music Therapy","GR","19260.0","7/1","11/1","","Credit"
"","Automotive Service EGTC","","Badge","Automotive Service","NC","","","","","Noncredit"
"AVTF-DD-CT","Adventure Tourism Graduate Certificate","NR","Certificate","Adventure Tourism","GR","9528.0","7/15","12/1","","Credit"
"ATMF-DD-CT","Agritourism Management","NR","Certificate","Agritourism Management","GR","","7/15","12/1","","Credit"
"CTCF","Communication and Technology Certificate","LA","Certificate","Communication and Technology","GR","9012.0","7/19","11/15","4/1","Credit"
"COCF-DD-CT","CT Communications for Conservation","1480","Certificate","Communications for Conservation","GR","9528.0","7/15","12/1","","Credit"
"WCAF-DD-CT","CT Wildlife Conservation Actions","1474","Certificate","Wildlife Conservation Actions","GR","8460.0","7/1","11/1","","Credit"
"DTAF-DD-CT","CT Data Analysis","1877","Certificate","Data Analysis","GR","8350.0","6/1","","","Credit"
"FWCB-DD-MFWC","MFWC Fish, Wildlife, and Conservation Biology","1474","Degree","Fish, Wildlife, and Conservation Biology","GR","21150.0","4/1","10/1","","Credit"
"NRST","Natural Resource Stewardship (M.N.R.S.)","NR","Degree","Natural Resource Stewardship","GR","21150.0","5/1","9/15","","Credit"
"NRST-OZ-MNRS","MNRS Ntrl Res Stwd/ECRZ","1472","Degree","Natural Resource Stewardship - Ecological Restorat","GR","21150.0","5/1","9/15","","Credit"
"NRST-DZ-MNRS","Natural Resource Stewardship/Rangeland Ecosystems (M.N.R.S.)","NR","Degree","Natural Resource Stewardship - Rangeland Ecosystem","GR","21150.0","5/1","9/15","","Credit"
"NRST-LZ-MNRS","Natural Resource Stewardship/Sustainable Military Lands Management (M.N.R.S.)","NR","Degree","Natural Resource Stewardship - Sustainable Militar","GR","21150.0","5/1","9/15","","Credit"
"HHHF-CT","Horticulture and Human Health","AG","Certificate","Horticulture and Human Health","GR","7488.0","8/1","1/1","5/1","Credit"
"","Human-Centered Design Thinking","HS","Certificate","Human-Centered Design Thinking","GR","6201.0","","11/15","","Credit"
"NRST-IZ-MNRS","MNRS Master Natural Resources Stewardship/Forest Sciences","1472","Degree","Natural Resource Stewardship - Forest Sciences","GR","21150.0","5/1","9/15","","Credit"
"NRST-TZ-MNRS","MNRS Master of Natural Resources Stewardship/Rangeland Ecology and Management","1472","Degree","Natural Resource Stewardship - Rangeland Ecology a","GR","21150.0","5/1","9/15","","Credit"
"SAMF-DD-CT","CT Ski Area Management","1480","Certificate","Ski Area Management","GR","9528.0","7/15","12/1","","Credit"
"SMMF-DD-CT","CT Sustainable Military Lands Management","1401","Certificate","Sustainable Military Lands Management","GR","8712.0","7/15","11/15","4/15","Credit"
"TRMG-DD-MTM","MTM Master of Tourism Management","1480","Degree","Tourism Management","GR","23820.0","7/15","12/1","","Credit"
"FESV-DD-BS","BS Fire and Emergency Services Administration","1472","Degree","Fire and Emergency Services Administration","UG","57120.0","6/1","11/1","5/1","Credit"
"NRTM-DNRZ-BS","BS Natural Resource Tourism/Natural Resource Tourism","1480","Degree","Natural Resource Tourism","UG","57120.0","6/1","11/1","5/1","Credit"
"PSYC-GDSZ-BS","BS Psychology/General Psychology","1876","Degree","Psychology","UG","57120.0","6/1","11/1","5/1","Credit"
"PSAF-DD-CT","Postsecondary Access and Success Programs","HS","Certificate","Postsecondary Access and Success Programs","GR","10470.0","7/15","","","Credit"
"SPMG-DD-MSM","MSM Sport Management","1701","Degree","Sport Management","GR","24000.0","8/1","12/15","5/1","Credit"
"MAST-DD-MAS","Applied Statistics (M.A.S.)","NS","Degree","Applied Statistics","GR","25050.0","4/15","","","Credit"
"CPSC-DD-MCS","MCS Computer Science","1873","Degree","Computer Science","GR","25025.0","5/1","11/1","","Credit"
"CSEF-DD-CT","CT Computer Systems Engineering","1373","Certificate","Computer Systems Engineering","GR","7975.0","7/1","12/1","","Credit"
"NSED-DD-MNSE","MNSE Natural Sciences Education","1801","Degree","Natural Sciences Education","GR","18810.0","7/15","11/1","","Credit"
"OGDF-DD-CT","Organizational Development Certificate","NS","Certificate","Organizational Development","GR","","","","","Credit"
"CPSC-DCSZ-BS","BS Computer Science/Computer Science","1873","Degree","Computer Science","UG","57120.0","6/1","11/1","5/1","Credit"
"ENRE-BS","BS Env & Natural Resource Econ","1172","Degree","Environmental and Natural Resource Economics","UG","57120.0","6/1","11/1","5/1","Credit"
"PFMF-DD-CT","Performance Management Certificate","NS","Certificate","Performance Management","GR","","","","","Credit"
"RGMF-DD-CT","Theory and Applications of Regression Models Certificate","1877","Certificate","Theory and Applications of Regression Models","GR","8350.0","5/1","","","Credit"
"AIOP-DD-MIOP","MIOP Applied Industrial/Organizational Psychology","1876","Degree","Industrial Organizational Psychology","GR","29260.0","4/1","","","Credit"
"","Post-Baccalaureate Pre-Health Courses","","Certificate","Pre-Health Courses","UG","","","","","Credit"
"","Applying and Leading Assessment in Student Affairs","","Badge","Applying and Leading Assessment in Student Affairs","NC","","","","","Noncredit"
"","Conflict Resolution for College Students","","Badge","Conflict Resolution for College Students","NC","","","","","Noncredit"
"","Exploring the Student Affairs in Higher Education Profession","","Badge","Exploring the Student Affairs in Higher Education","NC","","","","","Noncredit"
"","Science of Relationships","","Badge","Science of Relationships","NC","","","","","Noncredit"
"","Water, Civilization, and Nature","","Badge","Water, Civilization, and Nature","NC","","","","","Noncredit"
"PBPA-PZ-MPPA","MPPA Public Policy & Admin/PBPZ","1782","Degree","Public Policy Administration","GR","22854.0","7/15","12/31","4/20","Credit"
"","Single Course","","","","","","","","",""
"CBT","Cognitive Behavioral Therapy for Insomnia For Occupational Therapy","","Other","Cognitive Behavioral Therapy for Insomnia","NC","","","","","Noncredit"
"MICR-DD-MS","MS Microbiology","1682","Degree","Microbiology-Immunology","GR","29700.0","","","","Credit"
"CMST-BA","BA Communication Studies","1783","Degree","Communication Studies","UG","57120.0","","","","Credit"
