"hed__Contact__r.csuoee__PIDM__c","hed__Course_Offering__r.lms_hed__LMS_Reference_Code__c","hed__Grade__c","csuoee__Banner_Enrollment_Reference__c","hed__Status__c","hed__Verification_Status__c","hed__Verification_Status_Date__c","csuoee__Banner_Status__c","csuoee__Via_XE__c"
"1.244213E7","2024FA-HORT-100-844","","202490-74709-12442130","RE","Verified","2024-10-31","","false"
"1.2442129E7","2024FA-HORT-100-844","","202490-74709-12442129","RE","Verified","2024-10-31","","false"
"1.2442128E7","2024FA-HORT-100-844","","202490-74709-12442128","RE","Verified","2024-10-31","","false"
"1.2442127E7","2024FA-HORT-100-840","","202490-74634-12442127","RE","Verified","2024-10-31","","false"
"1.2442126E7","2024FA-BUS-150-860","","202490-76794-12442126","RE","Verified","2024-10-31","","false"
"1.2442126E7","2024FA-ACT-210-860","","202490-76793-12442126","RE","Verified","2024-10-31","","false"
"1.2442125E7","2024FA-ANEQ-103-860","","202490-76790-12442125","RE","Verified","2024-10-31","","false"
"1.2442124E7","2024FA-HORT-100-844","","202490-74709-12442124","RE","Verified","2024-10-31","","false"
"1.2442123E7","2024FA-HORT-100-844","","202490-74709-12442123","RE","Verified","2024-10-31","","false"
"1.2442122E7","2024FA-HORT-100-844","","202490-74709-12442122","RE","Verified","2024-10-31","","false"
"1.2442121E7","2024FA-HORT-100-844","","202490-74709-12442121","RE","Verified","2024-10-31","","false"
"1.2442119E7","2024FA-HORT-100-844","","202490-74709-12442119","RE","Verified","2024-10-31","","false"
"1.2442111E7","2024FA-LSPA-700-801","","202490-76641-12442111","RE","Verified","2024-10-31","","false"
"1.24421E7","2024FA-CIVE-260-801","","202490-70994-12442100","RE","Verified","2024-10-31","","false"
"1.2442047E7","2024FA-NR-150-860","","202490-76820-12442047","RE","Verified","2024-10-31","","false"
"1.2442045E7","2024FA-CS-152-801","","202490-76660-12442045","RE","Verified","2024-10-31","","false"
"1.244196E7","2024FA-OT-215-801","","202490-70966-12441960","RE","Verified","2024-10-31","","false"
"1.2441959E7","2024FA-BC-351-801","","202490-71103-12441959","RE","Verified","2024-10-31","","false"
"1.2441958E7","2024FA-BMS-300-801","","202490-72187-12441958","RE","Verified","2024-10-31","","false"
"1.2441958E7","2024FA-MIP-300-801","","202490-70964-12441958","RE","Verified","2024-10-31","","false"
"1.2441957E7","2024FA-ECON-335-801","","202490-71268-12441957","RE","Verified","2024-10-31","","false"
"1.2441956E7","2024FA-ECON-460-801","","202490-71271-12441956","RE","Verified","2024-10-31","","false"
"1.2441955E7","2024FA-PHIL-110-860","","202490-76811-12441955","RE","Verified","2024-10-31","","false"
"1.2441954E7","2024FA-HORT-100-840","","202490-74634-12441954","RE","Verified","2024-10-31","","false"
"1.2441953E7","2024FA-HORT-100-840","","202490-74634-12441953","RE","Verified","2024-10-31","","false"
"1.2441952E7","2024FA-HORT-100-840","","202490-74634-12441952","RE","Verified","2024-10-31","","false"
"1.2441951E7","2024FA-HORT-100-840","","202490-74634-12441951","RE","Verified","2024-10-31","","false"
"1.244195E7","2024FA-HORT-100-840","","202490-74634-12441950","RE","Verified","2024-10-31","","false"
"1.2441949E7","2024FA-HORT-100-840","","202490-74634-12441949","RE","Verified","2024-10-31","","false"
"1.2441948E7","2024FA-HORT-100-840","","202490-74634-12441948","RE","Verified","2024-10-31","","false"
"1.2441947E7","2024FA-HORT-100-840","","202490-74634-12441947","RE","Verified","2024-10-31","","false"
"1.2441946E7","2024FA-HORT-100-840","","202490-74634-12441946","RE","Verified","2024-10-31","","false"
"1.2441945E7","2024FA-HORT-100-840","","202490-74634-12441945","RE","Verified","2024-10-31","","false"
"1.2441944E7","2024FA-HORT-100-840","","202490-74634-12441944","RE","Verified","2024-10-31","","false"
"1.2441943E7","2024FA-HORT-100-840","","202490-74634-12441943","RE","Verified","2024-10-31","","false"
"1.2441942E7","2024FA-HORT-100-840","","202490-74634-12441942","RE","Verified","2024-10-31","","false"
"1.2441941E7","2024FA-HORT-100-840","","202490-74634-12441941","RE","Verified","2024-10-31","","false"
"1.2441939E7","2024FA-HORT-100-840","","202490-74634-12441939","RE","Verified","2024-10-31","","false"
"1.2441938E7","2024FA-HORT-100-840","","202490-74634-12441938","RE","Verified","2024-10-31","","false"
"1.2441937E7","2024FA-HORT-100-840","","202490-74634-12441937","RE","Verified","2024-10-31","","false"
"1.2441936E7","2024FA-HORT-100-840","","202490-74634-12441936","RE","Verified","2024-10-31","","false"
"1.2441935E7","2024FA-HORT-100-840","","202490-74634-12441935","RE","Verified","2024-10-31","","false"
"1.2441934E7","2024FA-HORT-100-840","","202490-74634-12441934","RE","Verified","2024-10-31","","false"
"1.2441933E7","2024FA-HORT-100-840","","202490-74634-12441933","RE","Verified","2024-10-31","","false"
"1.2441932E7","2024FA-HORT-100-840","","202490-74634-12441932","RE","Verified","2024-10-31","","false"
"1.244193E7","2024FA-HORT-100-840","","202490-74634-12441930","RE","Verified","2024-10-31","","false"
"1.2441929E7","2024FA-HORT-100-840","","202490-74634-12441929","RE","Verified","2024-10-31","","false"
"1.2441928E7","2024FA-HORT-100-840","","202490-74634-12441928","RE","Verified","2024-10-31","","false"
"1.2441927E7","2024FA-HORT-100-840","","202490-74634-12441927","RE","Verified","2024-10-31","","false"
"1.2441926E7","2024FA-HORT-100-840","","202490-74634-12441926","RE","Verified","2024-10-31","","false"
"1.2441925E7","2024FA-HORT-100-840","","202490-74634-12441925","RE","Verified","2024-10-31","","false"
"1.2441924E7","2024FA-HORT-100-840","","202490-74634-12441924","RE","Verified","2024-10-31","","false"
"1.2441923E7","2024FA-HORT-100-840","","202490-74634-12441923","RE","Verified","2024-10-31","","false"
"1.2441715E7","2024FA-SOWK-560-802","","202490-77204-12441715","RE","Verified","2024-10-31","","false"
"1.2441714E7","2024FA-CIVE-260-801","","202490-70994-12441714","RE","Verified","2024-10-31","","false"
"1.2441714E7","2024FA-CIVE-360-801","","202490-74174-12441714","RE","Verified","2024-10-31","","false"
"1.2441694E7","2024FA-GEOL-110-860","","202490-76815-12441694","RE","Verified","2024-10-31","","false"
"1.2441694E7","2024FA-NR-150-860","","202490-76820-12441694","RE","Verified","2024-10-31","","false"
"1.2441111E7","2024FA-SYSE-580A8-801","","202490-76750-12441111","RE","Verified","2024-10-31","","false"
"1.244111E7","2024FA-ECON-304-801","","202490-71264-12441110","RE","Verified","2024-10-31","","false"
"1.2441109E7","2024FA-PH-122-801","","202490-74444-12441109","RE","Verified","2024-10-31","","false"
"1.2441068E7","2024FA-ECON-304-801","","202490-71264-12441068","RE","Verified","2024-10-31","","false"
"1.244101E7","2024FA-SOWK-560-802","","202490-77204-12441010","RE","Verified","2024-10-31","","false"
"1.2441009E7","2024FA-HORT-454-801","","202490-76983-12441009","RE","Verified","2024-10-31","","false"
"1.2441009E7","2024FA-HORT-511-801","","202490-74528-12441009","RE","Verified","2024-10-31","","false"
"1.2441008E7","2024FA-SYSE-501-801","","202490-74086-12441008","RE","Verified","2024-10-31","","false"
"1.2441007E7","2024FA-MECH-325-801","","202490-74382-12441007","RE","Verified","2024-10-31","","false"
"1.2441005E7","2024FA-BC-351-801","","202490-71103-12441005","RE","Verified","2024-10-31","","false"
"1.2441004E7","2024FA-MECH-342-801","","202490-74384-12441004","RE","Verified","2024-10-31","","false"
"1.2441003E7","2024FA-STAT-201-801","","202490-74248-12441003","RE","Verified","2024-10-31","","false"
"1.2440993E7","2024FA-BZ-101-860","","202490-76824-12440993","RE","Verified","2024-10-31","","false"
"1.2440992E7","2024FA-PHIL-110-860","","202490-76811-12440992","RE","Verified","2024-10-31","","false"
"1.2440991E7","2024FA-BUS-150-860","","202490-76794-12440991","RE","Verified","2024-10-31","","false"
"1.244099E7","2024FA-MATH-101-801","","202490-71099-12440990","RE","Verified","2024-10-31","","false"
"1.244099E7","2024FA-POLS-103-801","","202490-74271-12440990","RW","Verified","2024-10-31","","true"
"1.244099E7","2024FA-JTC-210-801","","202490-71108-12440990","RE","Verified","2024-10-31","","false"
"1.244099E7","2024FA-JTC-411-801","","202490-72246-12440990","RE","Verified","2024-10-31","","false"
"1.2440989E7","2024FA-SOCR-501-801","","202490-75314-12440989","RE","Verified","2024-10-31","","false"
"1.2440988E7","2024FA-OT-215-801","","202490-70966-12440988","RE","Verified","2024-10-31","","false"
"1.2440987E7","2024FA-SPCM-201-801","","202490-74184-12440987","RE","Verified","2024-10-31","","false"
"1.2440978E7","2024FA-PSY-460-801","","202490-71182-12440978","RE","Verified","2024-10-31","","false"
"1.2440978E7","2024FA-HDFS-310-801","","202490-71063-12440978","RE","Verified","2024-10-31","","false"
"1.2440978E7","2024FA-MU-692G-801","","202490-72458-12440978","RE","Verified","2024-10-31","","false"
"1.2440899E7","2024FA-ANEQ-103-860","","202490-76790-12440899","RE","Verified","2024-10-31","","false"
"1.2440898E7","2024FA-BC-351-801","","202490-71103-12440898","RE","Verified","2024-10-31","","false"
"1.2440898E7","2024FA-VS-333-801","","202490-71232-12440898","RE","Verified","2024-10-31","","false"
"1.2440897E7","2024FA-SOCR-201-801","","202490-72268-12440897","RE","Verified","2024-10-31","","false"
"1.2440883E7","2024FA-NR-150-860","","202490-76820-12440883","RE","Verified","2024-10-31","","false"
"1.2440882E7","2024FA-SOCR-581A7-801","","202490-77117-12440882","RE","Verified","2024-10-31","","false"
"1.2440881E7","2024FA-MATH-369-801","","202490-74514-12440881","RE","Verified","2024-10-31","","false"
"1.244088E7","2024FA-SOCR-581A7-801","","202490-77117-12440880","RE","Verified","2024-10-31","","false"
"1.2440877E7","2024FA-LSPA-700-801","","202490-76641-12440877","RE","Verified","2024-10-31","","false"
"1.2440876E7","2024FA-VS-333-801","","202490-71232-12440876","RE","Verified","2024-10-31","","false"
"1.2440796E7","2024FA-AREC-192-801","","202490-74477-12440796","RE","Verified","2024-10-31","","false"
"1.2440796E7","2024FA-ANEQ-103-801","","202490-71209-12440796","RE","Verified","2024-10-31","","false"
"1.2440795E7","2024FA-SOCR-350-801","","202490-77123-12440795","RE","Verified","2024-10-31","","false"
"1.2440795E7","2024FA-SOCR-100-801","","202490-77079-12440795","RE","Verified","2024-10-31","","false"
"1.2440793E7","2024FA-ECE-102-801","","202490-71057-12440793","RE","Verified","2024-10-31","","false"
"1.2440793E7","2024FA-CS-165-801","","202490-74232-12440793","RE","Verified","2024-10-31","","false"
"1.2440792E7","2024FA-LSPA-700-801","","202490-76641-12440792","RE","Verified","2024-10-31","","false"
"1.2440772E7","2024FA-ECE-102-843","","202490-76849-12440772","RE","Verified","2024-10-31","","false"
"1.244069E7","2024FA-PHIL-110-860","","202490-76811-12440690","RE","Verified","2024-10-31","","false"
"1.2440662E7","2024FA-PH-122-801","","202490-74444-12440662","RE","Verified","2024-10-31","","false"
"1.244066E7","2024FA-JTC-411-801","","202490-72246-12440660","RE","Verified","2024-10-31","","false"
"1.2440659E7","2024FA-SOWK-560-802","","202490-77204-12440659","RE","Verified","2024-10-31","","false"
"1.2440658E7","2024FA-ACT-210-860","","202490-76793-12440658","RE","Verified","2024-10-31","","false"
"1.2440656E7","2024FA-BC-351-801","","202490-71103-12440656","RE","Verified","2024-10-31","","false"
"1.244065E7","2024FA-CIVE-260-801","","202490-70994-12440650","RE","Verified","2024-10-31","","false"
"1.2440649E7","2024FA-MATH-369-801","","202490-74514-12440649","RE","Verified","2024-10-31","","false"
"1.2440608E7","2024FA-NR-150-860","","202490-76820-12440608","RE","Verified","2024-10-31","","false"
"1.2440607E7","2024FA-ACT-210-860","","202490-76793-12440607","RE","Verified","2024-10-31","","false"
"1.2440607E7","2024FA-ACT-205-860","","202490-76792-12440607","RE","Verified","2024-10-31","","false"
"1.2440607E7","2024FA-BUS-150-860","","202490-76794-12440607","RE","Verified","2024-10-31","","false"
"1.2440513E7","2024FA-NSCI-630-801","","202490-74325-12440513","RE","Verified","2024-10-31","","false"
"1.2440512E7","2024FA-ECON-304-801","","202490-71264-12440512","RE","Verified","2024-10-31","","false"
"1.2440511E7","2024FA-ECE-528-801","","202490-74191-12440511","RE","Verified","2024-10-31","","false"
"1.244041E7","2024FA-BMS-320-801","","202490-70915-12440410","RE","Verified","2024-10-31","","false"
"1.2440409E7","2024FA-ECON-304-801","","202490-71264-12440409","RE","Verified","2024-10-31","","false"
"1.2440408E7","2024FA-PSY-100-801","","202490-71168-12440408","RE","Verified","2024-10-31","","false"
"1.24404E7","2024FA-BMS-320-801","","202490-70915-12440400","RE","Verified","2024-10-31","","false"
"1.2440399E7","2024FA-MU-695B-800","","202490-71251-12440399","RE","Verified","2024-10-31","","false"
"1.2440398E7","2024FA-SOWK-560-802","","202490-77204-12440398","RE","Verified","2024-10-31","","false"
"1.2440397E7","2024FA-MIP-613-801","","202490-74314-12440397","RE","Verified","2024-10-31","","false"
"1.2440397E7","2024FA-MIP-619A-801","","202490-76913-12440397","RE","Verified","2024-10-31","","false"
"1.2440396E7","2024FA-BZ-110-801","","202490-74554-12440396","RE","Verified","2024-10-31","","false"
"1.2440374E7","2024FA-SYSE-571-801","","202490-74091-12440374","RE","Verified","2024-10-31","","false"
"1.2440374E7","2024FA-SYSE-536-801","","202490-76644-12440374","RE","Verified","2024-10-31","","false"
"1.2440281E7","2024FA-CIVE-260-801","","202490-70994-12440281","RE","Verified","2024-10-31","","false"
"1.2440279E7","2024SM-AGRI-695-735","","202460-49348-12440279","RE","Verified","2024-10-31","","false"
"1.2440277E7","2024FA-NSCI-579-801","","202490-76752-12440277","RE","Verified","2024-10-31","","false"
"1.2440277E7","2024FA-SOWK-660-801","","202490-71285-12440277","RE","Verified","2024-10-31","","false"
"1.2440276E7","2024FA-ECON-306-801","","202490-71265-12440276","RE","Verified","2024-10-31","","false"
"1.2440276E7","2024FA-ECON-304-801","","202490-71264-12440276","RE","Verified","2024-10-31","","false"
"1.2440275E7","2024FA-ECON-306-801","","202490-71265-12440275","RE","Verified","2024-10-31","","false"
"1.2440274E7","2024FA-BC-351-801","","202490-71103-12440274","RE","Verified","2024-10-31","","false"
"1.2440273E7","2024FA-SOWK-560-802","","202490-77204-12440273","RE","Verified","2024-10-31","","false"
"1.2440255E7","2024FA-CIVE-261-801","","202490-74553-12440255","RE","Verified","2024-10-31","","false"
"1.2440255E7","2024FA-CIVE-260-801","","202490-70994-12440255","RE","Verified","2024-10-31","","false"
"1.2440144E7","2024FA-CIVE-360-801","","202490-74174-12440144","RE","Verified","2024-10-31","","false"
"1.2440144E7","2024FA-MECH-342-801","","202490-74384-12440144","RE","Verified","2024-10-31","","false"
"1.244014E7","2024SM-EDUC-591A-612","","202460-47044-12440140","RE","Verified","2024-10-31","","false"
"1.2440089E7","2024FA-MU-692G-801","","202490-72458-12440089","RE","Verified","2024-10-31","","false"
"1.244006E7","2024FA-SOWK-560-801","","202490-71282-12440060","RE","Verified","2024-10-31","","false"
"1.2440059E7","2024FA-ECON-460-801","","202490-71271-12440059","RE","Verified","2024-10-31","","false"
"1.2440058E7","2024FA-SOCR-330-801","","202490-74344-12440058","RE","Verified","2024-10-31","","false"
"1.2440058E7","2024FA-BC-351-801","","202490-71103-12440058","RE","Verified","2024-10-31","","false"
"1.2440057E7","2024FA-ECON-304-801","","202490-71264-12440057","RE","Verified","2024-10-31","","false"
"1.2440056E7","2024FA-CHEM-107-801","","202490-72266-12440056","RE","Verified","2024-10-31","","false"
"1.2440055E7","2024FA-PHIL-110-860","","202490-76811-12440055","RE","Verified","2024-10-31","","false"
"1.2440053E7","2024FA-CS-152-801","","202490-76660-12440053","RE","Verified","2024-10-31","","false"
"1.2440052E7","2024FA-PH-122-801","","202490-74444-12440052","RE","Verified","2024-10-31","","false"
"1.2439976E7","2024SM-EDUC-591A-617","","202460-46987-12439976","RE","Verified","2024-10-31","","false"
"1.2439974E7","2024FA-SOWK-560-802","","202490-77204-12439974","RE","Verified","2024-10-31","","false"
"1.243997E7","2024FA-CS-545-801","","202490-71326-12439970","RE","Verified","2024-10-31","","false"
"1.2439969E7","2024FA-ACT-205-860","","202490-76792-12439969","RE","Verified","2024-10-31","","false"
"1.2439968E7","2024FA-CIVE-515-801","","202490-76689-12439968","RE","Verified","2024-10-31","","false"
"1.2439949E7","2024FA-ECON-460-801","","202490-71271-12439949","RE","Verified","2024-10-31","","false"
"1.2439937E7","2024SM-EDCT-590-604","","202460-48678-12439937","RE","Verified","2024-10-31","","false"
"1.2439936E7","2024FA-ECON-304-801","","202490-71264-12439936","RE","Verified","2024-10-31","","false"
"1.2439936E7","2024FA-ECON-306-801","","202490-71265-12439936","RE","Verified","2024-10-31","","false"
"1.2439935E7","2024FA-ECON-304-801","","202490-71264-12439935","RE","Verified","2024-10-31","","false"
"1.2439926E7","2024FA-ESS-696-801","","202490-77091-12439926","RE","Verified","2024-10-31","","false"
"1.2439925E7","2024FA-PHIL-110-860","","202490-76811-12439925","RE","Verified","2024-10-31","","false"
"1.2439856E7","2024FA-AB-509-801","","202490-74311-12439856","RW","Verified","2024-10-31","","true"
"1.2439855E7","2024FA-ECE-102-843","","202490-76849-12439855","RE","Verified","2024-10-31","","false"
"1.2439851E7","2024FA-LSPA-700-801","","202490-76641-12439851","RE","Verified","2024-10-31","","false"
"1.243985E7","2024FA-MATH-117-801","","202490-71135-12439850","RE","Verified","2024-10-31","","false"
"1.2439849E7","2024FA-ANEQ-103-860","","202490-76790-12439849","RE","Verified","2024-10-31","","false"
"1.2439848E7","2024FA-ECE-102-843","","202490-76849-12439848","RE","Verified","2024-10-31","","false"
"1.2439834E7","2024SM-EDUC-591A-612","","202460-47044-12439834","RE","Verified","2024-10-31","","false"
"1.2439825E7","2024FA-NR-518-801","","202490-76522-12439825","RE","Verified","2024-10-31","","false"
"1.2439824E7","2024FA-SYSE-501-801","","202490-74086-12439824","RE","Verified","2024-10-31","","false"
"1.2439807E7","2024SM-EDUC-591A-621","","202460-47069-12439807","RE","Verified","2024-10-31","","false"
"1.2439806E7","2024SM-EDUC-591A-620","","202460-47054-12439806","RE","Verified","2024-10-31","","false"
"1.2439805E7","2024SM-EDUC-591A-620","","202460-47054-12439805","RE","Verified","2024-10-31","","false"
"1.2439804E7","2024SM-EDUC-591A-620","","202460-47054-12439804","RE","Verified","2024-10-31","","false"
"1.2439803E7","2024SM-EDUC-591A-620","","202460-47054-12439803","RE","Verified","2024-10-31","","false"
"1.2439694E7","2024SM-EDUC-591A-621","","202460-47069-12439694","RE","Verified","2024-10-31","","false"
"1.2439693E7","2024SM-EDUC-591A-619","","202460-47059-12439693","RE","Verified","2024-10-31","","false"
"1.2439692E7","2024FA-SOWK-560-802","","202490-77204-12439692","RE","Verified","2024-10-31","","false"
"1.243967E7","2024FA-ECE-102-843","","202490-76849-12439670","RE","Verified","2024-10-31","","false"
"1.243967E7","2024FA-MECH-103-843","","202490-74357-12439670","RE","Verified","2024-10-31","","false"
"1.2439669E7","2024FA-MECH-103-845","","202490-77041-12439669","RE","Verified","2024-10-31","","false"
"1.2439665E7","2024SM-EDUC-695-600","","202460-47066-12439665","RE","Verified","2024-10-31","","false"
"1.2439661E7","2024FA-STAT-201-801","","202490-74248-12439661","RE","Verified","2024-10-31","","false"
"1.243966E7","2024FA-VS-333-801","","202490-71232-12439660","RE","Verified","2024-10-31","","false"
"1.2439644E7","2024FA-ECON-306-801","","202490-71265-12439644","RE","Verified","2024-10-31","","false"
"1.2439641E7","2024SM-EDUC-591A-620","","202460-47054-12439641","RE","Verified","2024-10-31","","false"
"1.2439524E7","2024FA-LSPA-700-801","","202490-76641-12439524","RE","Verified","2024-10-31","","false"
"1.2439523E7","2024FA-LSPA-700-801","","202490-76641-12439523","RE","Verified","2024-10-31","","false"
"1.2439522E7","2024FA-LSPA-700-801","","202490-76641-12439522","RE","Verified","2024-10-31","","false"
"1.243952E7","2024FA-LSPA-700-801","","202490-76641-12439520","RE","Verified","2024-10-31","","false"
"1.2439519E7","2024SM-EDUC-591A-620","","202460-47054-12439519","RE","Verified","2024-10-31","","false"
"1.2439518E7","2024SM-EDUC-591A-620","","202460-47054-12439518","RE","Verified","2024-10-31","","false"
"1.2439515E7","2024FA-MECH-103-845","","202490-77041-12439515","RE","Verified","2024-10-31","","false"
"1.2439514E7","2024FA-HORT-100-801","","202490-71314-12439514","RE","Verified","2024-10-31","","false"
"1.2439513E7","2024FA-CS-356-801","","202490-72307-12439513","RE","Verified","2024-10-31","","false"
"1.2439512E7","2024FA-AGRI-631-801","","202490-71152-12439512","RE","Verified","2024-10-31","","false"
"1.2439511E7","2024FA-MECH-103-843","","202490-74357-12439511","RE","Verified","2024-10-31","","false"
"1.2439511E7","2024FA-ECE-102-843","","202490-76849-12439511","RE","Verified","2024-10-31","","false"
"1.243951E7","2024FA-MECH-103-843","","202490-74357-12439510","RE","Verified","2024-10-31","","false"
"1.2439488E7","2024SM-EDUC-591A-620","","202460-47054-12439488","RE","Verified","2024-10-31","","false"
"1.2439487E7","2024SM-EDUC-591A-620","","202460-47054-12439487","RE","Verified","2024-10-31","","false"
